Date,Platform,Content Type,Caption,Hashtags,Media Suggestion,Category,Call to Action
2026-01-01,"Facebook, Instagram",Post,"Happy New Year from Fall River Lake! 🎉 Start 2026 with us - cozy cabins, stunning lake views, and endless winter adventures await. Book your winter escape today!",#FallRiverLake #NewYear2026 #KansasGetaway #CabinLife #WinterRetreat,"Cabin with snow, warm lights glowing",Seasonal/Promotional,Book your winter getaway - link in bio
2026-01-05,Instagram,Reel,"Winter fishing at Fall River Lake 🎣❄️ Ice or no ice, the fish are biting! Channel catfish, crappie, and bass waiting for you.",#WinterFishing #FallRiverLake #KansasFishing #FishingLife #IceFishing,Quick clips of winter fishing action,Fishing,Tag your fishing buddy!
2026-01-10,Facebook,Post,Did you know? Fall River State Park features 6 hiking trails perfect for winter exploration! 🥾 Bundle up and discover the beauty of Kansas prairie and forested floodplains.,#FallRiverStatePark #KansasHiking #WinterHiking #NatureLovers,"Winter trail scenes, wildlife",Activities,Which trail will you explore first?
2026-01-15,Instagram,Story Series,Cabin Tour: See why our hunting cabins are perfect for your next Kansas adventure! Swipe through →,#CabinTour #FallRiverRentals #HuntingCabin,Series of cabin interior/exterior shots,Promotional,DM us to check availability
2026-01-20,"Facebook, Instagram",Post,MARK YOUR CALENDARS 📅 Spring Turkey season opens April 16! Start planning your hunt now. Our cabins fill up fast during turkey season!,#TurkeySeason #KansasHunting #SpringTurkey #HuntingCabin #FallRiverHunting,"Turkey in field, hunting gear prep",Hunting,Book your turkey hunt cabin today
2026-01-25,Instagram,Post,Extended Archery Whitetail season runs through Jan 31! ���� Last chance for 2025-26 season. Stay warm in our heated cabins after your hunt.,#ArcheryHunting #WhitetailHunting #KansasDeer #BowHunting,"Archer at dawn, cabin lights",Hunting,Weekend spots still available!
2026-01-28,Facebook,Post,Fall turkey season is wrapping up this week (runs through Jan 31). Already planning your next hunt? Spring season opens in just 77 days! 🦃,#FallTurkey #KansasWildlife #HuntKansas,Turkey silhouette at sunset,Hunting,Reserve your spring dates now
2026-02-01,"Facebook, Instagram",Post,February is for waterfowl lovers! 🦆 Goose season continues through Feb 15. Wake up to lake views and prime hunting grounds.,#WaterfowlHunting #GooseHunting #KansasWaterfowl #DuckHunting #FallRiverLake,Geese flying formation over lake,Hunting,Last minute openings - call to book!
2026-02-05,Instagram,Reel,Cozy cabin vibes ☕🔥 This is how we do winter at Fall River Lake. Who needs a vacation?,#CabinVibes #CozyRetreat #WinterGetaway #KansasCabins #LakeLife,"Fire crackling, coffee, lake view through window",Promotional,Double tap if you need this!
2026-02-10,Facebook,Post,Eagles at Fall River! ���� Winter is the best time to spot bald eagles fishing on the lake. Bring your binoculars and camera!,#BaldEagles #Birdwatching #FallRiverWildlife #KansasNature #WildlifePhotography,Eagle photos from Fall River,Wildlife,Share your eagle photos with us!
2026-02-14,Instagram,Post,"💕 Love is in the air... and on the lake! Surprise your valentine with a romantic cabin getaway. Fireplace, lake views, and total privacy.",#ValentinesDay #RomanticGetaway #CabinRomance #KansasTravel #CouplesRetreat,"Romantic cabin setup, couple by fire",Seasonal/Promotional,Last-minute Valentine's spots available!
2026-02-18,Facebook,Post,🎣 Crappie fishing tip: February is excellent for crappie at Fall River! Target brush piles and standing timber in 8-12 feet of water.,#CrappieFishing #FishingTips #FallRiverFishing #KansasFishing,"Crappie catch, fishing spot",Fishing,What's your best crappie spot?
2026-02-23,Instagram,Post,"February: The perfect time for a quiet escape. No crowds, peaceful mornings, incredible wildlife. Experience Fall River Lake in winter. ❄️🏞️",#WinterEscape #OffSeason #QuietRetreat #FallRiverLake #PeacefulGetaway,"Serene winter lake scene, morning mist",Promotional,Weekday specials available - DM for rates
2026-02-27,"Facebook, Instagram",Post,"Spring is just around the corner! 🌸 Start planning your spring break getaway. Fishing, hiking, and turkey hunting season await!",#SpringBreak #SpringPlanning #KansasSpring #FallRiverLake,"Early spring scenery, budding trees",Seasonal,Book March & April dates now
